Employee Count,Employee ID,Department,Job Role,Gender,Age,Over 18,Marital Status,Education,Education Field,Business Travel,Distance From Home (kms),Job Involvement,Job Level,Job Satisfaction,Hourly Rate (USD),Daily Rate (USD),Monthly Rate (USD),Monthly Income (USD),Salary Hike (%),Stock Option Level,Standard Hours,Over Time,No. of Companies Worked,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Environment Satisfaction,Training Times Last Year,Work Life Balance,Performance Rating,Relationship Satisfaction,Attrition (Yes/No)
1,401,Sales,Sales Executive,Male,26,Y,Single,Master,Marketing,Travel_Rarely,4,Medium,2,Very High,48,950,8450,5828,12,0,80,Yes,1,8,8,7,7,4,Very High,0,Better,Excellent,Medium,Yes
1,403,Research & Development,Research Scientist,Male,37,Y,Married,Bachelor,Medical,Travel_Frequently,9,High,1,Very High,53,889,11411,2326,12,3,80,Yes,1,4,4,2,1,2,Medium,3,Good,Excellent,High,No
1,404,Sales,Sales Executive,Female,42,Y,Married,Bachelor,Marketing,Travel_Frequently,26,High,4,Medium,77,555,14864,13525,14,1,80,No,5,23,20,4,4,8,High,2,Best,Excellent,Very High,No
1,405,Research & Development,Laboratory Technician,Male,18,Y,Single,Bachelor,Life Sciences,Travel_Rarely,3,High,1,High,54,230,25233,1420,13,0,80,No,1,0,0,0,0,0,High,2,Better,Excellent,High,Yes
1,406,Sales,Sales Executive,Male,35,Y,Married,Bachelor,Marketing,Travel_Rarely,16,High,3,Medium,96,1232,5100,8020,15,2,80,No,0,12,11,9,6,9,High,3,Good,Excellent,High,No
1,407,Research & Development,Laboratory Technician,Male,36,Y,Married,Master,Life Sciences,Travel_Frequently,18,Very High,1,Very High,81,566,7122,3688,18,2,80,No,4,4,1,0,0,0,High,2,Better,Excellent,Very High,No
1,408,Research & Development,Manufacturing Director,Male,51,Y,Divorced,Bachelor,Medical,Travel_Rarely,2,Low,2,Medium,84,1302,16321,5482,18,1,80,No,5,13,4,1,1,2,Very High,3,Better,Excellent,Very High,No
1,410,Sales,Manager,Male,41,Y,Single,Master,Life Sciences,Travel_Rarely,2,High,4,Medium,88,334,15896,16015,19,0,80,No,1,22,22,10,0,4,Very High,2,Better,Excellent,Medium,No
1,411,Sales,Sales Representative,Female,18,Y,Single,Bachelor,Medical,Travel_Rarely,10,Medium,1,High,69,812,9724,1200,12,0,80,No,1,0,0,0,0,0,Very High,2,Better,Excellent,Low,No
1,412,Research & Development,Healthcare Representative,Male,28,Y,Single,College,Medical,Travel_Rarely,16,Very High,2,Low,68,1476,4824,5661,19,0,80,No,0,9,8,3,0,7,Medium,2,Better,Excellent,High,No
1,416,Sales,Sales Executive,Male,31,Y,Married,Bachelor,Technical Degree,Travel_Rarely,7,Very High,2,Very High,100,218,12241,6929,11,1,80,No,4,10,8,7,7,7,Medium,3,Good,Excellent,Medium,No
1,417,Research & Development,Healthcare Representative,Male,39,Y,Divorced,Bachelor,Medical,Travel_Rarely,1,Very High,3,Very High,48,1132,10942,9613,17,3,80,No,0,19,18,10,3,7,High,5,Good,Excellent,Low,No
1,419,Research & Development,Laboratory Technician,Female,36,Y,Married,Master,Life Sciences,Non-Travel,24,High,2,Medium,47,1105,6927,5674,15,1,80,No,7,11,9,8,0,8,Medium,3,Better,Excellent,High,No
1,420,Sales,Sales Executive,Male,32,Y,Married,Bachelor,Life Sciences,Travel_Rarely,7,Medium,2,High,91,906,16985,5484,14,1,80,No,1,13,13,8,4,8,Very High,3,Good,Excellent,High,No
1,421,Research & Development,Research Director,Female,38,Y,Married,College,Life Sciences,Travel_Rarely,25,Medium,3,Medium,81,849,26707,12061,17,1,80,No,3,19,10,8,0,1,Low,2,Better,Excellent,High,No
1,422,Research & Development,Healthcare Representative,Male,58,Y,Divorced,Master,Life Sciences,Non-Travel,1,Low,2,High,32,390,17056,5660,13,1,80,Yes,2,12,5,3,1,2,Very High,2,Better,Excellent,Very High,No
1,423,Research & Development,Research Scientist,Male,31,Y,Married,Master,Technical Degree,Travel_Rarely,5,High,1,Very High,86,691,10077,4821,12,1,80,Yes,0,6,5,2,0,3,High,4,Better,Excellent,High,No
1,424,Human Resources,Human Resources,Male,31,Y,Married,Bachelor,Human Resources,Travel_Rarely,2,Medium,2,Low,62,106,17822,6410,12,0,80,No,3,9,2,2,1,0,Low,1,Better,Excellent,Very High,No
1,425,Research & Development,Laboratory Technician,Male,45,Y,Divorced,Bachelor,Life Sciences,Travel_Frequently,7,High,3,Low,97,1249,20308,5210,18,1,80,No,1,24,24,9,9,11,Low,2,Better,Excellent,Low,No
1,426,Research & Development,Research Scientist,Male,31,Y,Divorced,Master,Life Sciences,Travel_Rarely,2,High,1,Very High,32,192,7747,2695,18,1,80,Yes,0,3,2,2,2,2,High,2,Bad,Excellent,Medium,No
1,428,Research & Development,Manager,Female,33,Y,Married,Master,Life Sciences,Travel_Frequently,5,High,3,Medium,74,553,23364,11878,11,2,80,No,6,12,10,6,8,8,Very High,2,Better,Excellent,Medium,No
1,429,Research & Development,Manager,Male,39,Y,Married,Below College,Medical,Travel_Rarely,10,High,4,Low,99,117,5355,17068,14,0,80,Yes,1,21,21,9,11,10,High,3,Better,Excellent,Very High,No
1,430,Research & Development,Laboratory Technician,Female,43,Y,Single,Master,Life Sciences,Travel_Frequently,10,High,1,Very High,33,185,10675,2455,19,0,80,No,0,9,8,7,1,7,High,5,Better,Excellent,Low,No
1,431,Research & Development,Healthcare Representative,Female,49,Y,Single,College,Technical Degree,Travel_Rarely,1,Medium,4,High,90,1091,17810,13964,12,0,80,Yes,7,25,7,1,0,7,High,2,Better,Excellent,Very High,No
1,433,Research & Development,Research Scientist,Male,52,Y,Married,Master,Medical,Travel_Rarely,8,Medium,2,Medium,85,723,17747,4941,15,0,80,No,2,11,8,2,7,7,High,3,Good,Excellent,Low,Yes
1,434,Research & Development,Research Scientist,Female,27,Y,Single,Bachelor,Life Sciences,Travel_Rarely,5,High,1,Medium,85,1220,20938,2478,12,0,80,Yes,1,4,4,3,1,2,High,2,Good,Excellent,Medium,No
1,436,Sales,Sales Executive,Female,32,Y,Married,College,Technical Degree,Travel_Rarely,8,Medium,2,Medium,65,588,24624,5228,11,0,80,Yes,1,13,13,12,11,9,High,2,Better,Excellent,Very High,No
1,437,Sales,Sales Executive,Male,27,Y,Single,Bachelor,Life Sciences,Travel_Rarely,2,High,2,High,74,1377,5242,4478,11,0,80,Yes,1,5,5,4,0,4,Very High,3,Better,Excellent,Low,No
1,438,Sales,Sales Executive,Male,31,Y,Divorced,Bachelor,Marketing,Travel_Rarely,7,High,2,Very High,73,691,7143,7547,12,3,80,No,4,13,7,7,1,7,Very High,3,Better,Excellent,Very High,No
1,439,Research & Development,Research Scientist,Female,32,Y,Single,Master,Medical,Travel_Rarely,2,Very High,2,Very High,74,1018,10557,5055,16,0,80,No,7,10,7,7,0,7,Low,0,Good,Excellent,High,No
1,440,Research & Development,Research Scientist,Male,28,Y,Married,Master,Medical,Travel_Rarely,2,Low,1,Very High,84,1157,24737,3464,13,0,80,Yes,5,5,3,2,2,2,Low,4,Good,Excellent,Very High,Yes
1,441,Research & Development,Research Scientist,Female,30,Y,Married,College,Medical,Travel_Rarely,28,High,2,Very High,64,1275,11934,5775,13,2,80,No,1,11,10,8,1,9,Very High,2,Better,Excellent,Very High,No
1,442,Research & Development,Manufacturing Director,Female,31,Y,Married,College,Life Sciences,Travel_Frequently,7,Medium,3,High,48,798,14034,8943,24,1,80,No,1,10,10,9,8,9,High,2,Better,Outstanding,Low,No
1,444,Research & Development,Manager,Male,39,Y,Married,College,Medical,Travel_Frequently,7,Medium,5,Very High,54,672,21141,19272,15,1,80,No,1,21,21,9,13,3,High,2,Better,Excellent,Low,No
1,445,Sales,Sales Executive,Female,39,Y,Married,College,Medical,Travel_Rarely,3,High,2,High,41,1162,17778,5238,18,0,80,Yes,4,12,1,0,0,0,Very High,3,Good,Excellent,Low,Yes
1,446,Sales,Sales Executive,Male,33,Y,Single,Bachelor,Marketing,Travel_Frequently,10,Medium,2,Very High,46,508,4317,4682,14,0,80,No,3,9,7,7,0,1,Medium,6,Good,Excellent,High,No
1,447,Research & Development,Research Director,Male,47,Y,Married,Doctor,Life Sciences,Travel_Rarely,5,High,5,High,42,1482,16375,18300,11,1,80,No,4,21,3,2,1,1,Very High,2,Better,Excellent,Medium,No
1,448,Research & Development,Laboratory Technician,Female,43,Y,Divorced,Master,Life Sciences,Travel_Frequently,10,Medium,2,High,82,559,6227,5257,11,1,80,No,1,9,9,7,0,0,High,3,Best,Excellent,Medium,No
1,449,Sales,Sales Executive,Male,27,Y,Married,Below College,Marketing,Non-Travel,1,High,2,Medium,73,210,22107,6349,13,1,80,Yes,0,6,5,4,1,4,High,0,Better,Excellent,Very High,No
1,450,Research & Development,Research Scientist,Female,54,Y,Single,Master,Life Sciences,Travel_Frequently,20,High,2,High,31,928,16885,4869,12,0,80,No,3,20,4,3,0,3,Very High,4,Good,Excellent,Very High,No
1,451,Research & Development,Healthcare Representative,Female,43,Y,Married,Bachelor,Life Sciences,Travel_Rarely,7,High,3,Low,43,1001,9262,9985,16,1,80,No,8,10,1,0,0,0,High,1,Good,Excellent,Low,No
1,452,Research & Development,Research Scientist,Male,45,Y,Married,Master,Other,Travel_Rarely,8,High,2,Very High,75,549,9278,3697,14,2,80,No,9,12,10,9,9,8,Very High,3,Better,Excellent,Low,No
1,453,Sales,Sales Executive,Male,40,Y,Married,College,Medical,Travel_Rarely,1,Low,2,Very High,57,1124,13273,7457,22,3,80,Yes,2,6,4,3,0,2,Medium,2,Good,Outstanding,High,No
1,454,Research & Development,Laboratory Technician,Male,29,Y,Married,Master,Other,Travel_Rarely,8,Low,1,Low,77,318,4759,2119,11,0,80,Yes,1,7,7,7,0,7,Medium,4,Good,Excellent,Very High,Yes
1,455,Research & Development,Laboratory Technician,Male,29,Y,Single,Doctor,Other,Travel_Rarely,9,Medium,1,Very High,30,738,7621,3983,17,0,80,No,0,4,3,2,2,2,Medium,2,Better,Excellent,High,No
1,456,Sales,Sales Executive,Female,30,Y,Divorced,Bachelor,Marketing,Travel_Rarely,5,Medium,2,High,30,570,5431,6118,13,3,80,No,1,10,10,9,1,2,Very High,2,Better,Excellent,High,No
1,458,Sales,Sales Executive,Female,27,Y,Married,Master,Marketing,Travel_Rarely,8,High,2,Medium,56,1130,3415,6214,18,1,80,No,1,8,8,7,0,7,Medium,3,Better,Excellent,Low,No
1,460,Research & Development,Manufacturing Director,Male,37,Y,Divorced,College,Medical,Travel_Rarely,5,High,2,Very High,61,1192,23177,6347,16,2,80,No,7,8,6,2,0,4,Very High,2,Good,Excellent,High,No
1,461,Research & Development,Research Director,Male,38,Y,Divorced,College,Life Sciences,Travel_Rarely,15,Medium,3,Very High,92,343,15682,11510,14,1,80,Yes,0,12,11,10,2,9,High,3,Better,Excellent,Medium,No
1,462,Research & Development,Manufacturing Director,Female,31,Y,Single,Master,Medical,Travel_Rarely,7,High,3,Very High,39,1232,25713,7143,14,0,80,Yes,1,11,11,9,4,10,High,2,Good,Excellent,High,No
1,463,Sales,Sales Executive,Female,29,Y,Divorced,Below College,Marketing,Travel_Rarely,10,Medium,2,Medium,39,144,11866,8268,14,2,80,Yes,1,7,7,7,1,7,Very High,2,Better,Excellent,Low,No
1,464,Research & Development,Manufacturing Director,Male,35,Y,Single,Master,Technical Degree,Travel_Rarely,5,High,3,Medium,62,1296,18264,8095,13,0,80,No,0,17,16,6,0,13,High,5,Better,Excellent,Very High,No
1,465,Research & Development,Research Scientist,Male,23,Y,Divorced,Below College,Life Sciences,Travel_Rarely,26,High,1,Very High,83,1309,16092,2904,12,2,80,No,1,4,4,2,0,2,High,2,Good,Excellent,High,No
1,466,Research & Development,Manufacturing Director,Male,41,Y,Single,Bachelor,Medical,Travel_Rarely,6,Medium,2,Medium,95,483,10110,6032,15,0,80,Yes,6,8,5,4,1,2,Very High,3,Better,Excellent,Very High,No
1,467,Sales,Sales Representative,Male,47,Y,Single,Below College,Medical,Travel_Frequently,4,High,2,High,99,1309,25751,2976,19,0,80,No,3,5,0,0,0,0,Medium,3,Better,Excellent,Low,No
1,468,Research & Development,Research Director,Female,42,Y,Single,Doctor,Life Sciences,Travel_Rarely,23,High,4,Very High,44,810,15901,15992,14,0,80,No,2,16,1,0,0,0,Low,2,Better,Excellent,Medium,No
1,469,Sales,Sales Executive,Male,29,Y,Married,Bachelor,Life Sciences,Non-Travel,2,High,2,High,61,746,16928,4649,14,1,80,No,1,4,4,3,0,2,Very High,3,Good,Excellent,Low,No
1,470,Human Resources,Human Resources,Male,42,Y,Divorced,Below College,Technical Degree,Travel_Rarely,2,High,1,High,52,544,24017,2696,11,1,80,Yes,0,4,3,2,1,0,High,5,Better,Excellent,High,No
1,471,Research & Development,Laboratory Technician,Female,32,Y,Married,Bachelor,Medical,Travel_Rarely,2,High,1,Medium,75,1062,3956,2370,13,1,80,No,1,8,8,0,0,7,High,4,Better,Excellent,High,No
1,473,Sales,Manager,Female,48,Y,Married,Below College,Medical,Travel_Rarely,29,High,3,High,91,530,23978,12504,21,1,80,No,3,15,0,0,0,0,Low,3,Bad,Outstanding,Medium,No
1,474,Research & Development,Research Scientist,Male,37,Y,Divorced,Bachelor,Medical,Travel_Rarely,6,Very High,2,Low,51,1319,17001,5974,13,2,80,Yes,4,13,7,7,6,7,High,2,Better,Excellent,Low,No
1,475,Sales,Sales Executive,Female,30,Y,Married,College,Technical Degree,Non-Travel,25,High,2,High,85,641,6069,4736,12,1,80,Yes,7,4,2,2,2,2,Very High,2,Best,Excellent,Medium,No
1,476,Sales,Sales Executive,Male,26,Y,Married,Bachelor,Life Sciences,Travel_Rarely,1,High,2,High,57,933,20156,5296,17,1,80,No,1,8,8,7,7,7,High,3,Better,Excellent,Medium,No
1,477,Research & Development,Healthcare Representative,Male,42,Y,Single,Master,Other,Travel_Rarely,2,Medium,2,Very High,98,1332,17078,6781,23,0,80,No,3,14,1,0,0,0,Low,6,Better,Outstanding,Medium,No
1,478,Sales,Sales Representative,Female,21,Y,Single,Below College,Technical Degree,Travel_Frequently,1,Medium,1,Medium,99,756,9150,2174,11,0,80,Yes,1,3,3,2,1,2,Low,3,Better,Excellent,High,Yes
1,479,Sales,Sales Executive,Female,36,Y,Single,Doctor,Medical,Non-Travel,1,High,2,Very High,45,845,15276,6653,15,0,80,No,4,7,1,0,0,0,Very High,6,Better,Excellent,Medium,No
1,481,Sales,Sales Executive,Male,36,Y,Married,Master,Medical,Travel_Frequently,3,Medium,3,Very High,48,541,7246,9699,11,1,80,No,4,16,13,9,1,12,Low,2,Better,Excellent,Low,No
1,482,Research & Development,Healthcare Representative,Male,57,Y,Married,Master,Medical,Travel_Rarely,1,High,2,High,88,593,2967,6755,11,0,80,No,2,15,3,2,1,2,Very High,2,Better,Excellent,High,No
1,483,Research & Development,Laboratory Technician,Female,40,Y,Married,Master,Life Sciences,Travel_Rarely,10,Very High,1,High,46,1171,22495,2213,13,1,80,Yes,3,10,7,7,1,7,Very High,3,Better,Excellent,High,No
1,484,Sales,Sales Representative,Male,21,Y,Single,College,Medical,Non-Travel,9,High,1,Very High,39,895,2851,2610,24,0,80,No,1,3,3,2,2,2,Low,3,Good,Outstanding,High,No
1,485,Sales,Sales Representative,Female,33,Y,Single,Bachelor,Marketing,Travel_Rarely,5,High,1,High,34,350,9150,2851,13,0,80,Yes,1,1,1,0,0,0,Very High,2,Better,Excellent,Medium,Yes
1,486,Research & Development,Laboratory Technician,Female,37,Y,Married,Bachelor,Medical,Travel_Rarely,10,High,1,Low,98,921,17663,3452,20,1,80,No,6,17,5,4,0,3,High,3,Better,Outstanding,Medium,No
1,487,Research & Development,Manufacturing Director,Female,46,Y,Married,Master,Medical,Non-Travel,7,High,2,High,30,1144,16044,5258,14,0,80,No,2,7,1,0,0,0,High,2,Best,Excellent,High,No
1,488,Sales,Sales Executive,Male,41,Y,Single,Bachelor,Marketing,Travel_Frequently,4,High,2,Medium,56,143,9558,9355,18,0,80,No,1,8,8,7,7,7,Low,5,Better,Excellent,High,Yes
1,491,Research & Development,Healthcare Representative,Male,50,Y,Single,Bachelor,Technical Degree,Travel_Rarely,10,Medium,3,Very High,100,1046,2755,10496,15,0,80,No,6,20,4,3,1,3,Very High,2,Better,Excellent,Very High,No
1,492,Sales,Sales Executive,Male,40,Y,Married,College,Marketing,Travel_Rarely,22,Medium,2,High,68,575,6110,6380,12,2,80,Yes,2,8,6,4,1,0,High,6,Better,Excellent,Low,Yes
1,493,Research & Development,Research Scientist,Male,31,Y,Single,Master,Life Sciences,Travel_Rarely,9,Medium,1,Medium,42,408,7551,2657,16,0,80,Yes,0,3,2,2,2,2,High,5,Better,Excellent,Very High,No
1,494,Sales,Sales Representative,Female,21,Y,Single,Bachelor,Life Sciences,Travel_Rarely,12,Very High,1,Medium,90,156,25422,2716,15,0,80,No,1,1,1,0,0,0,High,0,Better,Excellent,Very High,Yes
1,495,Research & Development,Research Scientist,Male,29,Y,Single,Bachelor,Life Sciences,Travel_Rarely,23,High,1,Very High,54,1283,18168,2201,16,0,80,No,9,6,3,2,1,2,Very High,4,Better,Excellent,Very High,No
1,496,Research & Development,Healthcare Representative,Male,35,Y,Single,Master,Life Sciences,Travel_Rarely,9,Medium,2,Medium,97,755,19394,6540,19,0,80,No,9,10,1,1,0,0,High,5,Better,Excellent,High,No
1,497,Research & Development,Laboratory Technician,Male,27,Y,Divorced,College,Medical,Travel_Rarely,1,High,1,Medium,82,1469,17881,3816,11,1,80,No,1,5,5,2,0,4,Very High,2,Better,Excellent,Medium,No
1,498,Sales,Sales Executive,Male,28,Y,Single,Master,Life Sciences,Travel_Rarely,9,High,2,Very High,92,304,20750,5253,16,0,80,No,1,7,7,5,0,7,Medium,1,Better,Excellent,Very High,No
1,499,Research & Development,Healthcare Representative,Male,49,Y,Single,Bachelor,Other,Travel_Rarely,7,Medium,3,High,31,1261,12066,10965,24,0,80,No,8,26,5,2,0,0,Medium,2,Better,Outstanding,High,No
1,500,Sales,Sales Executive,Female,51,Y,Married,College,Life Sciences,Travel_Rarely,14,High,2,Very High,87,1178,14862,4936,11,1,80,No,4,18,7,7,0,7,High,2,Good,Excellent,High,No
1,501,Research & Development,Research Scientist,Female,36,Y,Married,Bachelor,Life Sciences,Travel_Rarely,2,High,1,High,96,329,11868,2543,13,1,80,No,4,6,2,2,2,2,Very High,3,Better,Excellent,Medium,No
1,502,Sales,Sales Executive,Male,34,Y,Single,Bachelor,Marketing,Non-Travel,19,Very High,2,Very High,67,1362,4652,5304,13,0,80,Yes,8,9,5,2,0,4,Low,3,Good,Excellent,Medium,Yes
1,505,Research & Development,Manager,Female,55,Y,Single,Bachelor,Life Sciences,Travel_Rarely,2,High,4,Very High,97,1311,23258,16659,13,0,80,Yes,2,30,5,4,1,2,High,2,Better,Excellent,High,No
1,507,Sales,Sales Executive,Female,24,Y,Divorced,Master,Marketing,Travel_Rarely,10,High,2,High,77,1371,5915,4260,12,1,80,Yes,1,5,5,2,0,3,Very High,2,Best,Excellent,Very High,No
1,508,Sales,Sales Representative,Male,30,Y,Married,Below College,Technical Degree,Travel_Rarely,2,High,1,Medium,72,202,17434,2476,18,1,80,No,1,1,1,0,0,0,High,3,Better,Excellent,Low,No
1,510,Research & Development,Research Scientist,Male,26,Y,Single,Below College,Technical Degree,Travel_Frequently,3,High,1,Low,73,575,6582,3102,22,0,80,No,0,7,6,4,0,4,High,2,Better,Outstanding,High,Yes
1,511,Research & Development,Research Scientist,Female,22,Y,Married,Bachelor,Medical,Travel_Rarely,11,High,1,Medium,43,253,24440,2244,13,1,80,No,1,2,2,1,1,2,Low,1,Better,Excellent,Very High,No
1,513,Sales,Sales Executive,Male,36,Y,Married,College,Medical,Travel_Rarely,2,Medium,3,High,61,164,3809,7596,13,2,80,No,1,10,10,9,9,0,Medium,2,Better,Excellent,Medium,No
1,514,Research & Development,Research Scientist,Male,30,Y,Single,Bachelor,Technical Degree,Travel_Frequently,4,High,1,Very High,40,464,3427,2285,23,0,80,Yes,9,3,1,0,0,0,High,4,Better,Outstanding,High,Yes
1,515,Research & Development,Laboratory Technician,Female,37,Y,Divorced,Bachelor,Life Sciences,Travel_Rarely,14,High,1,Low,95,1107,26914,3034,12,1,80,No,1,18,18,7,12,17,Very High,2,Good,Excellent,High,No
1,516,Sales,Sales Executive,Female,40,Y,Divorced,College,Marketing,Travel_Rarely,2,High,2,Medium,46,759,22553,5715,12,2,80,No,7,8,5,4,1,3,Very High,5,Better,Excellent,High,No
1,517,Research & Development,Laboratory Technician,Female,42,Y,Divorced,Master,Life Sciences,Travel_Rarely,1,High,1,Low,95,201,20490,2576,16,1,80,No,3,8,5,2,1,2,Medium,5,Better,Excellent,Medium,No
1,518,Research & Development,Manufacturing Director,Male,37,Y,Single,Master,Life Sciences,Travel_Rarely,10,High,2,Medium,49,1305,21123,4197,12,0,80,Yes,2,18,1,0,0,1,High,2,Good,Excellent,Very High,No
1,520,Research & Development,Research Director,Male,43,Y,Divorced,Bachelor,Life Sciences,Travel_Rarely,12,Medium,4,Medium,59,982,4345,14336,11,1,80,No,1,25,25,10,3,9,Low,3,Better,Excellent,High,No
1,521,Research & Development,Laboratory Technician,Female,40,Y,Married,Bachelor,Medical,Travel_Rarely,2,Medium,2,High,78,555,13436,3448,22,1,80,No,6,20,1,0,0,0,Medium,3,Better,Outstanding,Medium,No
1,522,Research & Development,Research Director,Male,54,Y,Married,College,Medical,Travel_Rarely,5,High,5,Low,86,821,8509,19406,11,1,80,No,4,24,4,2,1,2,Low,4,Good,Excellent,High,No
1,523,Sales,Sales Executive,Female,34,Y,Married,Master,Marketing,Non-Travel,4,High,2,High,72,1381,12740,6538,15,1,80,No,9,6,3,2,1,2,High,3,Better,Excellent,Low,No
1,524,Research & Development,Manufacturing Director,Female,31,Y,Married,College,Medical,Travel_Rarely,7,High,2,Low,31,480,4156,4306,12,1,80,No,1,13,13,10,3,12,Medium,5,Bad,Excellent,Medium,No
1,525,Research & Development,Laboratory Technician,Male,43,Y,Married,Bachelor,Medical,Travel_Frequently,21,High,1,Very High,61,313,15238,2258,20,1,80,No,7,8,3,2,1,2,Very High,1,Better,Outstanding,Low,No
1,526,Research & Development,Healthcare Representative,Female,43,Y,Divorced,Master,Other,Travel_Rarely,8,High,2,High,74,1473,2227,4522,14,0,80,Yes,4,8,5,2,0,2,High,3,Better,Excellent,Very High,No
1,527,Sales,Sales Executive,Female,25,Y,Single,College,Life Sciences,Travel_Rarely,4,Medium,2,Very High,99,891,12090,4487,11,0,80,Yes,1,5,5,4,1,3,Medium,3,Better,Excellent,Medium,No
1,529,Research & Development,Research Scientist,Female,37,Y,Married,Doctor,Medical,Non-Travel,25,High,2,High,72,1063,23866,4449,15,2,80,Yes,3,15,13,11,10,7,Medium,2,Better,Excellent,Low,No
1,530,Research & Development,Laboratory Technician,Male,31,Y,Married,College,Life Sciences,Travel_Rarely,1,Medium,1,Low,98,329,16193,2218,12,1,80,No,1,4,4,2,3,2,Very High,3,Better,Excellent,High,No
1,531,Research & Development,Manager,Male,39,Y,Divorced,Below College,Life Sciences,Travel_Frequently,1,High,5,High,52,1218,8213,19197,14,1,80,Yes,1,21,21,8,1,6,Medium,3,Better,Excellent,High,No
1,532,Sales,Sales Executive,Female,56,Y,Married,Bachelor,Life Sciences,Travel_Frequently,6,Very High,4,Low,86,906,18256,13212,11,3,80,No,9,36,7,7,7,7,High,0,Good,Excellent,Very High,No
1,533,Sales,Sales Executive,Female,30,Y,Single,Bachelor,Technical Degree,Travel_Rarely,12,High,2,High,83,1082,19558,6577,11,0,80,No,0,6,5,4,4,4,Medium,6,Better,Excellent,Medium,No
1,534,Sales,Sales Executive,Male,41,Y,Married,Bachelor,Marketing,Travel_Rarely,1,Very High,3,Low,49,645,19566,8392,16,1,80,No,1,10,10,7,0,7,Medium,2,Better,Excellent,High,No
1,536,Research & Development,Laboratory Technician,Male,28,Y,Divorced,College,Medical,Travel_Rarely,17,High,2,Low,79,1300,13535,4558,12,1,80,No,1,10,10,0,1,8,High,2,Better,Excellent,Very High,No
1,538,Research & Development,Laboratory Technician,Male,25,Y,Married,Bachelor,Medical,Travel_Rarely,3,High,1,Low,91,688,9396,4031,13,1,80,No,5,6,2,2,0,2,Low,5,Better,Excellent,High,Yes
1,543,Research & Development,Manufacturing Director,Male,52,Y,Married,Bachelor,Medical,Travel_Rarely,3,Medium,3,High,39,319,19609,7969,14,0,80,Yes,2,28,5,4,0,4,Very High,4,Better,Excellent,High,No
1,544,Research & Development,Research Scientist,Male,45,Y,Married,College,Life Sciences,Travel_Rarely,10,High,1,Very High,69,192,9655,2654,21,2,80,No,3,8,2,2,0,2,Low,3,Good,Outstanding,Very High,No
1,546,Research & Development,Manager,Female,52,Y,Married,College,Life Sciences,Travel_Rarely,4,High,4,Very High,30,1490,10310,16555,13,0,80,No,2,31,5,2,1,4,Very High,2,Bad,Excellent,Very High,No
1,547,Research & Development,Research Scientist,Female,42,Y,Divorced,College,Life Sciences,Travel_Frequently,29,High,2,High,92,532,12932,4556,11,1,80,No,2,19,5,4,0,2,Low,3,Better,Excellent,Medium,No
1,548,Research & Development,Manufacturing Director,Female,30,Y,Single,Bachelor,Life Sciences,Travel_Rarely,2,Low,2,Very High,43,317,24793,6091,20,0,80,No,2,11,5,4,0,2,High,2,Better,Outstanding,High,No
1,549,Research & Development,Manager,Female,60,Y,Married,Bachelor,Life Sciences,Travel_Rarely,7,High,5,Low,41,422,3854,19566,11,0,80,No,5,33,29,8,11,10,Low,5,Bad,Excellent,Very High,No
1,550,Research & Development,Manufacturing Director,Female,46,Y,Divorced,Bachelor,Medical,Travel_Rarely,18,High,2,High,87,1485,26314,4810,14,1,80,No,2,19,10,7,0,8,High,5,Good,Excellent,High,No
1,551,Research & Development,Healthcare Representative,Female,42,Y,Married,Master,Technical Degree,Travel_Frequently,28,Medium,2,Very High,88,1368,4386,4523,11,3,80,No,0,7,6,5,0,4,Very High,4,Best,Excellent,Very High,No
1,554,Sales,Sales Representative,Female,24,Y,Single,Below College,Technical Degree,Travel_Rarely,1,High,1,Medium,62,1448,21972,3202,16,0,80,Yes,1,6,5,3,1,4,Low,4,Better,Excellent,Medium,Yes
1,555,Sales,Sales Representative,Female,34,Y,Divorced,College,Marketing,Travel_Frequently,6,Low,1,High,33,296,12253,2351,16,1,80,No,0,3,2,2,1,0,Very High,3,Good,Excellent,Very High,Yes
1,556,Research & Development,Laboratory Technician,Male,38,Y,Married,College,Life Sciences,Travel_Frequently,2,High,1,Very High,42,1490,12106,1702,23,1,80,Yes,1,1,1,0,0,0,Very High,3,Better,Outstanding,High,No
1,558,Sales,Manager,Female,40,Y,Married,Master,Life Sciences,Travel_Rarely,2,High,5,High,79,1398,13022,18041,14,0,80,No,0,21,20,15,1,12,High,2,Better,Excellent,Very High,No
1,560,Research & Development,Research Scientist,Female,26,Y,Divorced,Bachelor,Life Sciences,Travel_Rarely,23,High,1,Very High,90,1349,3032,2886,22,2,80,No,1,3,3,2,0,2,Low,3,Bad,Outstanding,Medium,No
1,562,Research & Development,Laboratory Technician,Male,30,Y,Married,Bachelor,Life Sciences,Non-Travel,3,High,1,Very High,53,1400,16734,2097,15,1,80,No,4,9,5,3,1,4,High,3,Bad,Excellent,High,No
1,564,Research & Development,Research Director,Male,29,Y,Married,Master,Medical,Travel_Rarely,3,Medium,3,High,93,986,21526,11935,18,0,80,No,1,10,10,2,0,7,Medium,2,Better,Excellent,High,No
1,565,Research & Development,Research Scientist,Female,29,Y,Married,Doctor,Technical Degree,Travel_Rarely,25,Medium,1,Medium,71,408,18300,2546,16,0,80,No,5,6,2,2,1,1,High,2,Best,Excellent,Medium,Yes
